f1_good,f1_bad,f1_weighted,accuracy,precision,recall,roc_auc,pr_auc,f1_good_std,f1_bad_std,f1_weighted_std,accuracy_std,precision_std,recall_std,roc_auc_std,pr_auc_std,sampler,model,runtime_s
0.8358136746363696,0.30890900105577646,0.6777422725621917,0.735,0.7378772561381257,0.9642857142857142,0.7365952380952381,0.8312493491172669,0.007642190814106535,0.04289256880586821,0.012407845990965893,0.009486832980505146,0.007210284010439151,0.024327694808466305,0.020715599301535277,0.019161574105622248,ROS,RNN,27.718621015548706
0.8308034079074874,0.306050986050986,0.673377681350537,0.728,0.7356689042466128,0.9542857142857143,0.7337857142857143,0.8379899882256003,0.00944169701448572,0.030673646356195277,0.014754565066382116,0.014000000000000012,0.00663773381580199,0.016035674514745458,0.02392168818317138,0.013318061299088288,SMOTE,RNN,29.56553816795349
0.8300429682963651,0.2632093933463796,0.6599928958113694,0.724,0.7296122994652405,0.9628571428571429,0.7312380952380952,0.8324247472587182,0.00455962505454524,0.051173326391655706,0.016595659319505643,0.008000000000000007,0.008354277967897308,0.014568627181693663,0.029301737776703488,0.015493955663984378,ADASYN,RNN,27.592357873916626
0.8293848580441641,0.3293975903614458,0.6793886777393485,0.728,0.7394350282485875,0.9442857142857143,0.7356904761904761,0.8496990313200345,0.013192432935126218,0.05974026862315072,0.02699827505840734,0.021587033144922923,0.013076434970401583,0.013850513878332398,0.02178036624442977,0.008059845701120035,AGSS,RNN,28.76916480064392
0.8289175469380414,0.428299238136034,0.7087320542974391,0.737,0.7605685282034029,0.9114285714285714,0.7177142857142857,0.8211220745561288,0.010596295632195227,0.024167310380572758,0.008029570836208587,0.011661903789690611,0.005418568239198458,0.02913725436338734,0.03146295017254567,0.02221690991576296,ROS,LSTM,39.0018789768219
0.8292376173371048,0.4247764496040357,0.7078992670171841,0.737,0.761207191737958,0.9114285714285714,0.7106666666666667,0.8199661996868322,0.008643837161061065,0.07000477175206858,0.02649885943729177,0.017492855684535916,0.020702860076258694,0.01470804305855287,0.03940807783487362,0.03346625142082697,SMOTE,LSTM,36.964296102523804
0.8341536040640373,0.4266903933595949,0.7119146408527046,0.7430000000000001,0.7613968720470605,0.9228571428571429,0.7073809523809523,0.8116539024048904,0.014332328471978831,0.07522601795501738,0.0314660807791816,0.02400000000000002,0.019615774400578156,0.019897697538834438,0.03596286507495053,0.02373215856116745,ADASYN,LSTM,38.97711706161499
0.8286248665194759,0.3944464893291503,0.6983713533623781,0.733,0.7529706845344093,0.9214285714285715,0.7155,0.8251804241599835,0.01270235182236424,0.07197753010264402,0.03001142774910972,0.02204540768504862,0.017650168191676,0.010101525445522118,0.02312803268096124,0.01743525005769357,AGSS,LSTM,38.397944688797
