accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,sampler,model,runtime_s
0.9982374028728227,0.48175182481751827,0.2682926829268293,0.34464751958224543,0.9663571722592699,0.34277575006508576,0.5,ROS,GAN,2667.5972549915314
0.998258469770757,0.4938650306748466,0.32723577235772355,0.39364303178484106,0.9665549518604766,0.3934080135717404,0.5,SMOTE,GAN,6516.823925971985
0.998075889988659,0.37610619469026546,0.17276422764227642,0.23676880222841226,0.9658016793751463,0.29209367180232315,0.5,ADASYN,GAN,4130.117294073105
0.9992345693750505,0.8743169398907104,0.6504065040650406,0.745920745920746,0.9573859485978924,0.714225309337603,0.5,AGSS,GAN,3086.79594874382
