hidden_size,epochs,lr,model,sampler,best_f1,best_threshold,roc_auc,f1_t0.2,f1_t0.3,f1_t0.4,f1_t0.5,f1_t0.6,f1_t0.7,f1_t0.8
32,200,0.0005,LSTM,SMOTE,0.8286644951140065,0.8,0.710047619047619,0.5687022900763359,0.6683848797250859,0.7370929308975377,0.7694633408919124,0.7922636103151862,0.8133514986376021,0.8286644951140065
64,200,0.0005,LSTM,SMOTE,0.8286644951140065,0.8,0.7012666666666667,0.5641025641025641,0.6620926243567753,0.7176186645213194,0.7630582891748675,0.7867435158501441,0.8147641831852358,0.8286644951140065
64,200,0.0005,LSTM,AGSS,0.8285163776493256,0.8,0.707004761904762,0.6660899653979239,0.7429022082018928,0.7684365781710915,0.7883522727272727,0.8079561042524005,0.8217362491716369,0.8285163776493256
32,200,0.001,LSTM,AGSS,0.8282958199356913,0.8,0.6948952380952381,0.7022149302707137,0.7370855821125675,0.7643593519882179,0.7937853107344632,0.811772758384668,0.8154563624250499,0.8282958199356913
32,100,0.0005,LSTM,AGSS,0.8282051282051283,0.8,0.7192000000000001,0.6353790613718412,0.7303370786516854,0.7625468164794007,0.7994269340974212,0.8171152518978606,0.8215712383488681,0.8282051282051283
32,100,0.001,RNN,AGSS,0.827455919395466,0.8,0.7338999999999999,0.5763358778625954,0.6844368013757524,0.7395091053048297,0.7814569536423841,0.8130193905817175,0.8227513227513228,0.827455919395466
32,200,0.0005,LSTM,AGSS,0.8274078862314156,0.8,0.7100904761904763,0.6695278969957081,0.7298578199052133,0.7687732342007435,0.7865810135617416,0.8131868131868132,0.8241539482415395,0.8274078862314156
64,200,0.001,RNN,SMOTE,0.8270580727504786,0.8,0.7231952380952381,0.5330700888450148,0.6631578947368421,0.7312348668280871,0.7668944570994685,0.8,0.8225806451612904,0.8270580727504786
32,200,0.001,RNN,AGSS,0.827020202020202,0.8,0.721447619047619,0.6297640653357531,0.7116968698517299,0.7550077041602465,0.7857142857142857,0.8085106382978723,0.8265440210249672,0.827020202020202
64,200,0.001,RNN,AGSS,0.8267170762444864,0.8,0.7253714285714284,0.6730601569311246,0.732484076433121,0.7715355805243446,0.8048606147248034,0.8125,0.8219895287958116,0.8267170762444864
32,200,0.0005,RNN,AGSS,0.8257575757575758,0.8,0.7316380952380952,0.5738798856053384,0.6831767719897524,0.7413249211356467,0.7820324005891016,0.8125435540069686,0.8253968253968254,0.8257575757575758
64,100,0.001,LSTM,AGSS,0.8256410256410256,0.8,0.7079761904761905,0.6836301950805768,0.7447306791569087,0.7740986019131715,0.7911931818181818,0.8095890410958904,0.8196286472148541,0.8256410256410256
64,200,0.001,LSTM,AGSS,0.8251121076233184,0.8,0.691147619047619,0.6887417218543046,0.7395993836671803,0.7756598240469208,0.7985915492957747,0.8084239130434783,0.8134920634920635,0.8251121076233184
32,100,0.001,LSTM,AGSS,0.8250484183344093,0.8,0.7138523809523809,0.679213002566296,0.7307086614173228,0.7723214285714286,0.7943060498220641,0.8080110497237569,0.8184245660881175,0.8250484183344093
32,100,0.0005,RNN,AGSS,0.8246385920804525,0.8,0.7371857142857142,0.560856864654333,0.6712922810060711,0.7381905524419535,0.7865671641791044,0.8106966924700915,0.824468085106383,0.8246385920804525
32,200,0.001,LSTM,SMOTE,0.8201438848920863,0.8,0.692795238095238,0.6012715712988193,0.6823529411764706,0.7331240188383046,0.7621905476369092,0.7893982808022922,0.8133971291866029,0.8201438848920863
64,200,0.001,LSTM,SMOTE,0.8196286472148541,0.8,0.6886285714285715,0.6286215978928885,0.6960065199674002,0.7413127413127413,0.7653213751868461,0.7899280575539568,0.7986206896551724,0.8196286472148541
