sampler,ratio,best_f1,best_threshold,roc_auc,f1_t0.5,f1_t0.6,f1_t0.7,f1_t0.8,f1_t0.85,f1_t0.9,f1_t0.92,f1_t0.95,f1_t0.97,f1_t0.99,prec_t0.5,prec_t0.6,prec_t0.7,prec_t0.8,prec_t0.85,prec_t0.9,prec_t0.92,prec_t0.95,prec_t0.97,prec_t0.99,rec_t0.5,rec_t0.6,rec_t0.7,rec_t0.8,rec_t0.85,rec_t0.9,rec_t0.92,rec_t0.95,rec_t0.97,rec_t0.99
AGSS,1,0.8213166144200627,0.97,0.9727646565722292,0.04884948049828646,0.08677521842732328,0.14347392892726668,0.26978532521627685,0.42916235780765255,0.617490494296578,0.7019064124783362,0.798,0.8213166144200627,0.7502876869965478,0.02509641719300207,0.04561586638830898,0.07811934900542496,0.1601369341955116,0.28779472954230234,0.4933171324422843,0.6117824773413897,0.7854330708661418,0.8451612903225807,0.8647214854111406,0.9126016260162602,0.8882113821138211,0.8780487804878049,0.8556910569105691,0.8434959349593496,0.8252032520325203,0.823170731707317,0.8109756097560976,0.7987804878048781,0.6626016260162602
NearMiss,N/A,0.814968814968815,0.95,0.8828527280445413,0.022191177260759767,0.05951241069455697,0.1704594246457707,0.4900497512437811,0.6616288832913518,0.7883650952858575,0.8061538461538461,0.814968814968815,0.798708288482239,0.19964349376114082,0.011244214538524366,0.030875047764615974,0.09529524723955833,0.35304659498207885,0.5636623748211731,0.7782178217821782,0.8136645962732919,0.8340425531914893,0.8489702517162472,0.8115942028985508,0.8394308943089431,0.8211382113821138,0.806910569105691,0.8008130081300813,0.8008130081300813,0.7987804878048781,0.7987804878048781,0.7967479674796748,0.7540650406504065,0.11382113821138211
TomekLinks,N/A,0.7541589648798521,0.99,0.9736399882244431,0.16829971181556197,0.20973963355834138,0.2595373986182037,0.335408560311284,0.39075249320036265,0.4712328767123288,0.5080309339678762,0.5824175824175825,0.6536661466458659,0.7541589648798521,0.09293443666454487,0.11898249452954048,0.15227352837504407,0.20741097208854667,0.2514585764294049,0.3225806451612903,0.35912531539108494,0.43983402489626555,0.5303797468354431,0.6915254237288135,0.8902439024390244,0.8841463414634146,0.8780487804878049,0.8760162601626016,0.8760162601626016,0.8739837398373984,0.8678861788617886,0.8617886178861789,0.8516260162601627,0.8292682926829268
ENN,N/A,0.7367475292003594,0.99,0.9760091399253863,0.14498510427010924,0.1759935117599351,0.21968543886352104,0.28848728246318606,0.3377847604084839,0.40627973358705993,0.4471330878485008,0.5329981143934632,0.6187683284457478,0.7367475292003594,0.07891891891891892,0.09774774774774775,0.1255072463768116,0.17267628205128205,0.20934761441090555,0.26521739130434785,0.3016323633782825,0.38580527752502275,0.48394495412844035,0.6602254428341385,0.8902439024390244,0.8821138211382114,0.8800813008130082,0.8760162601626016,0.8739837398373984,0.8678861788617886,0.8638211382113821,0.8617886178861789,0.8577235772357723,0.8333333333333334
AGSS,10,0.2737617135207497,0.99,0.9739936695658042,0.026665150524490436,0.030498803003968122,0.035712905345340704,0.04312260626979999,0.04908508443286094,0.05919578114700066,0.06565582216988076,0.08328611898016997,0.11197310576674424,0.2737617135207497,0.013521695257315842,0.015499483350554982,0.018202592490445608,0.02207484145810137,0.025216178521617852,0.030589998637416543,0.03406140216893234,0.04367201426024955,0.059790113228389945,0.1638621794871795,0.9532520325203252,0.9451219512195121,0.9390243902439024,0.926829268292683,0.9186991869918699,0.9126016260162602,0.9065040650406504,0.8963414634146342,0.8800813008130082,0.8313008130081301
AGSS,50,0.07423208191126279,0.99,0.9749841546126627,0.026038196757717076,0.028585419599681704,0.03156140529877904,0.035350624399615754,0.038458322882702116,0.042300556586270875,0.044570700886516136,0.04962042028826053,0.05570890840652447,0.07423208191126279,0.013199369582348306,0.014511217450748865,0.016049254608972364,0.018015900990874554,0.019632949210414,0.02164419973419404,0.022835633626097866,0.025500395793282823,0.02874158467115484,0.038742429640185254,0.9532520325203252,0.9491869918699187,0.943089430894309,0.9349593495934959,0.9349593495934959,0.926829268292683,0.9247967479674797,0.9166666666666666,0.9024390243902439,0.8841463414634146
AGSS,100,0.07146964593773104,0.99,0.9722536079800417,0.026582422586520948,0.028855103940428173,0.03166046876599229,0.03511584411618764,0.037633301766377074,0.041150402459980105,0.043374642516682556,0.04822892663844381,0.05426829268292683,0.07146964593773104,0.01347996767116961,0.014651206755309093,0.016100489260557273,0.01789395884389466,0.019205715486446732,0.021043381740819534,0.022208121827411168,0.024767461060047333,0.027973346743776717,0.03723996233199212,0.9491869918699187,0.9451219512195121,0.943089430894309,0.9349593495934959,0.9288617886178862,0.9247967479674797,0.9247967479674797,0.9146341463414634,0.9044715447154471,0.8841463414634146
