accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,sampler,model,runtime_s
0.9750743460895063,0.05933700515447339,0.8881880024737168,0.11114858638346456,0.9751921786589068,0.7228174135729108,0.0030226139323706745,0.008320229563965277,0.01934709482965176,0.01470021297657526,0.008566058304789915,0.01617380383994413,RUS,LSTM,3.1777310371398926
0.9851548902473832,0.10191961467863901,0.9003504432075861,0.18231748531088346,0.9743281454690582,0.7253641459274871,0.0046451727262395125,0.021290549535835947,0.024644435546905843,0.03509309205222587,0.007080872707478368,0.06438380377430264,TomekLinks,LSTM,554.0570781230927
0.9885501207290247,0.13775190959812655,0.8861471861471861,0.2353191426217613,0.9715942892364418,0.7160652457900437,0.005285129156840997,0.04630739720932076,0.028358543109538968,0.07046209853954703,0.011175373708195583,0.08621382294250965,ENN,LSTM,550.1215829849243
0.87674112979018,0.011925878022699404,0.8455576169861884,0.023515628764159906,0.8819298952405845,0.6749980521424858,0.015211079861164545,0.0015895529250857967,0.020567830519920838,0.0030975445935900697,0.016931548023067962,0.014007018885783465,NearMiss,LSTM,3.597574234008789
0.9344257641920765,0.023869781825634147,0.9187177901463617,0.046520253657537994,0.9761467399866459,0.7103910766561118,0.00614837101682318,0.0020874624985497804,0.018108538804687827,0.003956953844965978,0.009950310059728464,0.01703931484319895,AGSS,LSTM,189.32615900039673
0.9735680681511969,0.05848935955176606,0.9044526901669758,0.1095823238031313,0.9787283219567833,0.7322956220716141,0.005109336354465692,0.012826613863987023,0.016576260971325203,0.0223874941848303,0.0073237435222076,0.020670530943031156,RUS,RNN,1.3230698108673096
0.9726868104922737,0.05912743898090733,0.9145949288806433,0.11070239588055271,0.9840777183166536,0.7454046059641927,0.00905983206101634,0.013387698589168495,0.017901789301735152,0.023811810909834318,0.007280792529485094,0.027923844212324345,TomekLinks,RNN,410.11301708221436
0.9667670220101188,0.052091265703378166,0.9206761492475778,0.09768576290040792,0.9828338153349898,0.7383264886835049,0.01013577217130896,0.022164169913166706,0.021912008886964235,0.03841821145625107,0.007194696382855597,0.02982925702975899,ENN,RNN,409.79817295074463
0.763032604582084,0.006541923951519086,0.9003916718202433,0.012989239321297887,0.9395254282378975,0.6894475304824204,0.012623139138889617,0.00043372305534041916,0.04153343305215875,0.0008577052634658879,0.015901441866041224,0.02735439922339382,NearMiss,RNN,3.013775110244751
0.8998725326977276,0.016347532021254378,0.9329004329004329,0.03211346969712148,0.9762057294648159,0.7187204368319413,0.01714723865860434,0.0029061269082053002,0.018985988761438345,0.005601486636748059,0.009102258528790918,0.02235337892652964,AGSS,RNN,183.72862482070923
