model,f1,precision,recall,accuracy,roc_auc,threshold,runtime_s
LightGBM,0.8343,0.7233,0.9857,0.726,0.7176,0.99,19.1
XGBoost,0.8386,0.7329,0.98,0.736,0.73,0.9,4.9
