f1_good,f1_bad,f1_weighted,accuracy,roc_auc,threshold,sampler,model,runtime_s
0.6978653530377669,0.5294117647058824,0.6473292765382015,0.632,0.6777738095238094,0.5,ROS,Transformer,477.98210191726685
0.6846089150546678,0.5376078914919852,0.6405086079858631,0.625,0.6832857142857143,0.5,SMOTE,Transformer,517.8026297092438
0.670076726342711,0.532043530834341,0.6286667676902,0.613,0.6758714285714286,0.5,ADASYN,Transformer,475.53002309799194
0.8241,0.0867,0.6854,0.705,0.6494,0.9,AGSS,Transformer,542.0
