f1_good,f1_bad,f1_weighted,accuracy,precision,recall,roc_auc,f1_good_std,f1_bad_std,f1_weighted_std,accuracy_std,precision_std,recall_std,roc_auc_std,sampler,model,runtime_s
0.829784437417142,0.32053320578303923,0.6770090679269112,0.728,0.7385562472739423,0.9471428571428572,0.7362380952380952,0.007652018051653843,0.055401565814729235,0.01994825547614072,0.012884098726725137,0.011396737726896602,0.01726149424799226,0.021576683896786797,RUS,RNN,11.297548055648804
0.8327917555161692,0.3570689505835448,0.690074914036382,0.735,0.7452803985227363,0.9442857142857143,0.7423333333333333,0.016477811759945237,0.046778324690346006,0.02170781971342234,0.02280350850198278,0.011182422452808531,0.0345229884959845,0.022995316490513184,TomekLinks,RNN,18.567415237426758
0.8005614977120968,0.5444719926538107,0.723734646194611,0.7230000000000001,0.8065952259514351,0.7957142857142856,0.7341428571428572,0.01362584799279865,0.02057874800772658,0.011227374712824839,0.014000000000000012,0.012704820902468949,0.033380918415851196,0.028787023878201996,ENN,RNN,12.736016035079956
0.7926113168379192,0.3130716219194259,0.6487494083623713,0.6819999999999999,0.7294892414385926,0.8685714285714285,0.634095238095238,0.016842113637178205,0.07777607797283011,0.03075188425453097,0.024819347291981687,0.01873903175543885,0.03016958868848982,0.04721504814119177,NearMiss,RNN,11.296269178390503
0.8144680617344978,0.40605178394915564,0.6919431783988952,0.718,0.7559435324627142,0.8842857142857141,0.6993809523809523,0.012796351886194655,0.08039970831112857,0.029618810648591728,0.021118712081942895,0.02279465064249743,0.029760952365713796,0.04417121655424587,AGSS,RNN,10.81486701965332
0.8287214891919265,0.44188821207410234,0.7126715060565793,0.7380000000000001,0.7639506743869442,0.9057142857142857,0.7125238095238096,0.0146991425336716,0.050706987896394974,0.02448854942753479,0.02204540768504862,0.013882211710867037,0.02089819834046826,0.022748551572340948,RUS,LSTM,15.303048849105835
0.8297380364114675,0.4555455969791682,0.7174803045817777,0.741,0.7692928199722988,0.9014285714285715,0.7228809523809524,0.005911432237494447,0.05454722801167122,0.0187317234962332,0.011575836902790236,0.01764424786259478,0.020898198340468268,0.02517775806408877,TomekLinks,LSTM,23.92188286781311
0.7724915319855283,0.5319621771551926,0.7003327255364276,0.694,0.8050950633942154,0.7428571428571429,0.713,0.01618086851521452,0.026155062923814285,0.01760159063545037,0.018814887722226756,0.013753059367859678,0.02515259551665574,0.027304178079363004,ENN,LSTM,17.228248834609985
0.7333072556028751,0.4108611292499238,0.6365734176969897,0.6340000000000001,0.7479773075788525,0.7214285714285713,0.626357142857143,0.026406474989456717,0.052479983611070403,0.026114261881877165,0.027820855486487137,0.02232132453528745,0.04844521416518049,0.039170871101586964,NearMiss,LSTM,15.236068964004517
0.7308786820148218,0.4791220366904506,0.6553516884175103,0.647,0.7838864892480706,0.6885714285714285,0.6590714285714285,0.02282955927093375,0.04336069747864489,0.012132927509295174,0.016000000000000014,0.026826194372064634,0.056892307862113946,0.04706314810227904,AGSS,LSTM,14.6024808883667
