f1_good,f1_bad,accuracy,roc_auc,threshold,hidden,epochs,lr,dropout,runtime_s
0.831044776119403,0.12923076923076923,0.717,0.6958904761904762,0.95,64,300,0.0001,0.3,141.47214102745056
0.830842797369994,0.1345565749235474,0.717,0.6959,0.95,64,300,0.0001,0.2,123.79646062850952
0.830842797369994,0.1345565749235474,0.717,0.6962238095238096,0.95,64,400,0.0001,0.2,201.1988799571991
0.8305489260143198,0.12345679012345678,0.716,0.6961952380952381,0.95,64,400,0.0001,0.3,155.51631116867065
0.8303464755077659,0.12883435582822086,0.716,0.6959285714285715,0.95,64,200,0.0001,0.3,71.61309289932251
0.8300536672629696,0.11764705882352941,0.715,0.695847619047619,0.95,64,200,0.0001,0.2,64.67948579788208
0.8299155609167672,0.17543859649122806,0.718,0.6859761904761903,0.95,128,200,0.0005,0.3,51.00811314582825
0.8290341931613677,0.14414414414414414,0.715,0.6947047619047619,0.95,128,300,0.0001,0.3,80.56760907173157
0.8290341931613677,0.14414414414414414,0.715,0.6953428571428572,0.95,128,200,0.0001,0.2,50.67649602890015
0.8288288288288288,0.14925373134328357,0.715,0.6937428571428571,0.95,128,400,0.0001,0.2,309.5606679916382
0.8288288288288288,0.14925373134328357,0.715,0.6951619047619049,0.95,128,300,0.0001,0.2,82.51436877250671
0.8283313325330132,0.1437125748502994,0.714,0.6935666666666667,0.95,128,400,0.0001,0.3,260.50174498558044
0.8278344331133773,0.13813813813813813,0.713,0.6922238095238095,0.95,64,200,0.0005,0.3,64.75879073143005
0.8271679805942995,0.18803418803418803,0.715,0.695652380952381,0.95,64,200,0.0005,0.2,67.13849997520447
0.8271308523409364,0.1377245508982036,0.712,0.6929285714285714,0.95,128,200,0.0001,0.3,51.30183219909668
0.8262454434993924,0.192090395480226,0.714,0.6824619047619047,0.95,64,300,0.0005,0.3,107.067547082901
0.8246913580246914,0.25263157894736843,0.716,0.6731142857142857,0.95,64,400,0.0005,0.3,160.21222591400146
0.8245398773006135,0.22702702702702704,0.714,0.6740904761904762,0.95,128,200,0.0005,0.2,53.63276290893555
0.8227300802964793,0.24671916010498687,0.713,0.6663904761904762,0.95,128,300,0.0005,0.3,80.86324286460876
0.8200371057513914,0.2402088772845953,0.709,0.6697476190476189,0.95,64,300,0.0005,0.2,111.70801615715027
0.8200253485424588,0.32701421800947866,0.716,0.6568142857142857,0.95,128,300,0.0005,0.2,81.95107102394104
0.8135810377962844,0.33712984054669703,0.709,0.6624571428571429,0.95,128,400,0.0005,0.3,139.96342611312866
0.8124602670057216,0.3091334894613583,0.705,0.6585904761904763,0.95,64,400,0.0005,0.2,166.60315704345703
0.7960264900662252,0.37142857142857144,0.692,0.6520904761904762,0.95,128,400,0.0005,0.2,110.79165291786194
