sampler,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,runtime_s,model
ROS,0.9981074889423421,0.48242162487648177,0.8678416821273964,0.6175714261869266,0.9779095593613445,0.8390126926679307,0.000428943529200941,0.06495285931268294,0.0215698353535111,0.05489718682809702,0.006666622479250052,0.02931039954872315,358.91622495651245,RNN
SMOTE,0.9978195751143634,0.4362398075391834,0.8637806637806638,0.5789368025931299,0.9796265569211069,0.8278044851114552,0.00023062405287437783,0.0315915458216982,0.021121426714409034,0.027350215037085904,0.00555037374232357,0.026337601757061617,364.052285194397,RNN
ADASYN,0.996882097798698,0.3444816934309425,0.8678004535147392,0.49218494852195793,0.9778892251062203,0.7858043849509905,0.0003921912811148937,0.03239837881999484,0.027585731681549885,0.03279428846296559,0.008008667097819588,0.051214575631468966,353.61729526519775,RNN
AGSS,0.9993153249541127,0.8372493036447961,0.7967017109874253,0.807710744393358,0.9779716884944738,0.8536604774539225,0.0003273137390929066,0.1367850112754231,0.04025296852919486,0.06412904383577202,0.011358195874541987,0.036613496771464964,1547.0433158874512,RNN
