best_f1,best_threshold,precision,recall,roc_auc,f1_t0.93,f1_t0.94,f1_t0.95,f1_t0.96,f1_t0.97,f1_t0.975,f1_t0.98,f1_t0.985,f1_t0.99,hidden_size,epochs,lr,model
0.8237747653806048,0.985,0.8458244111349036,0.8028455284552846,0.9714497110370397,0.4354753053637812,0.49011384062312763,0.5631469979296067,0.6403162055335968,0.7192825112107624,0.7670182166826462,0.797583081570997,0.8237747653806048,0.8221512247071352,128,30,0.0005,LSTM
0.8221757322175732,0.97,0.8469827586206896,0.7987804878048781,0.9709175304958474,0.7603773584905661,0.78515625,0.8048289738430584,0.8206185567010309,0.8221757322175732,0.8201892744479495,0.8212765957446808,0.8112189859762675,0.7210401891252955,64,20,0.001,LSTM
0.8221757322175732,0.94,0.8469827586206896,0.7987804878048781,0.9728799672411896,0.8204592901878914,0.8221757322175732,0.8198103266596417,0.8162393162393162,0.7867403314917127,0.75,0.6773006134969325,0.5813333333333334,0.24083769633507854,64,30,0.0005,LSTM
0.821656050955414,0.99,0.86,0.7865853658536586,0.9731038472300204,0.2607371306731648,0.3305978898007034,0.4399164054336468,0.5733882030178327,0.7102966841186736,0.7746883988494727,0.8097165991902834,0.8196037539103233,0.821656050955414,64,30,0.001,LSTM
0.8210526315789474,0.98,0.851528384279476,0.7926829268292683,0.9727626084317049,0.5228840125391849,0.6143497757847534,0.6840336134453782,0.7520891364902507,0.7948207171314741,0.8207253886010363,0.8210526315789474,0.8178913738019169,0.7834821428571429,64,50,0.0005,LSTM
0.8207847295864263,0.97,0.8580931263858093,0.7865853658536586,0.9702520456741771,0.8032290615539859,0.813141683778234,0.8153526970954357,0.819226750261233,0.8207847295864263,0.8162393162393162,0.8099352051835853,0.7924944812362031,0.7291910902696366,128,20,0.0005,LSTM
0.7912957467853611,0.99,0.7707129094412332,0.8130081300813008,0.9725555996876818,0.1723792343154941,0.20504201680672268,0.24787576911807793,0.3200606750094805,0.42212075088787415,0.49131216297183944,0.5850144092219021,0.6972318339100346,0.7912957467853611,128,20,0.001,LSTM
0.782791185729276,0.95,0.8091106290672451,0.758130081300813,0.9734131736398524,0.7264239028944911,0.7628458498023716,0.782791185729276,0.7779005524861878,0.7520184544405998,0.7227488151658767,0.6896551724137931,0.6105263157894737,0.4633431085043988,128,50,0.0001,RNN
0.7653508771929824,0.975,0.830952380952381,0.709349593495935,0.9698450805094372,0.57,0.6342629482071713,0.6899563318777293,0.7373447946513849,0.7631027253668763,0.7653508771929824,0.7306791569086651,0.6179921773142112,0.32172470978441126,64,20,0.0005,RNN
0.7542372881355932,0.99,0.7876106194690266,0.7235772357723578,0.9714750750949115,0.2637223974763407,0.30594277329420394,0.35278969957081546,0.41292276627965674,0.4975429975429975,0.5524331734064428,0.621875,0.7090909090909091,0.7542372881355932,64,30,0.0005,RNN
0.7294117647058823,0.93,0.8659217877094972,0.6300813008130082,0.969672700710265,0.7294117647058823,0.6749072929542645,0.6157826649417852,0.5554035567715458,0.44776119402985076,0.35668789808917195,0.22105263157894736,0.07321772639691715,0.0,128,30,0.0001,RNN
0.709849157054126,0.99,0.6299212598425197,0.8130081300813008,0.9726836745971524,0.11109705175249905,0.12944312796208532,0.15530846484935437,0.20285035629453682,0.2883498462589682,0.3563169164882227,0.4444444444444444,0.5652777777777778,0.709849157054126,128,50,0.0005,LSTM
0.6549560853199499,0.93,0.8557377049180328,0.5304878048780488,0.9684647517517858,0.6549560853199499,0.583554376657825,0.4554744525547445,0.2171628721541156,0.0,0.0,0.0,0.0,0.0,64,20,0.0005,LSTM
0.6429479034307497,0.93,0.8576271186440678,0.5142276422764228,0.9656229478382574,0.6429479034307497,0.612987012987013,0.5384615384615384,0.4734576757532281,0.39689922480620154,0.31475409836065577,0.15073529411764705,0.0,0.0,128,50,0.0001,LSTM
