sampler,accuracy,precision,recall,f1,roc_auc,pr_auc,accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,pr_auc_std,runtime_s
ROS,0.696,0.49558206531724613,0.6133333333333334,0.547604522476061,0.7351428571428571,0.5356628053215082,0.01743559577416267,0.024837752561325786,0.03231786571610883,0.02134579001004694,0.028764959629631527,0.024510604457410646,7.264236927032471
SMOTE,0.6990000000000001,0.4995930804263057,0.5900000000000001,0.5407983759592863,0.7358809523809524,0.5321330754634358,0.019339079605813696,0.02796796416725711,0.016996731711975955,0.021636710384911342,0.02585791018768482,0.04422284300001876,7.0357561111450195
ADASYN,0.6910000000000001,0.489664819446591,0.6399999999999999,0.554513566427263,0.7416904761904762,0.5341045226988662,0.02537715508089902,0.03312227659584698,0.029059326290271165,0.02978996158834918,0.024120046517180093,0.030946615332629355,7.503745794296265
AGSS,0.6910000000000001,0.4879982943469786,0.5166666666666667,0.4996094869099963,0.739952380952381,0.5358663872467005,0.022891046284519174,0.0375469877195987,0.06411794687223782,0.03756568671323833,0.02729111556280052,0.044144804037512184,7.0574259757995605
